author_name,total_books,total_sales,average_rating
Hajime KAMOSHIDA,1,9,0.0
Hajime Komoto,3,34,1.6666666666666667
Hamuo,1,11,5.0
Hanamaru Gakushukai,1,0,0.0
Hanazono Makoto,1,1000,5.0
Haro Aso,1,3,0.0
Harold S. Koplewicz,1,16,5.0
Haruichi Furudate,1,132,4.5
Harvey Karp - Paula Spencer,1,0,0.0
Hasegawa Waka,1,11,5.0
Hayao Miyazaki,1,11,5.0
Hazano Kazutake,3,108,2.9333333333333336
"Hazuki Takeoka, Tiv",1,0,0.0
Heather Anderson,1,39,5.0
Heather Turegon,1,84,5.0
Heidi Murkoff,10,753,1.48
Helen Greathead,1,0,0.0
Helen Stanton,1,0,0.0
Hidaka Shoko,1,24,5.0
Hinoki Kino,1,29,5.0
"Hinoki Kino, Touko Amekawa, Wan Hachipisu",1,0,0.0
Hinowa Kouzuki,1,13,5.0
Hiroko Kodama - Tomohiro Okubo,2,1458,4.8
Hiromu Arakawa,7,95,0.7142857142857143
Hironori Nakagawa,1,58,5.0
Hiroyuki Aihara,1,0,0.0
Hiroyuki Takei,1,298,5.0
Hiroyuki Yokoyama,1,51,0.0
Hitoshi Iwaaki,3,1547,4.933333333333334
Hitsuji Gondaira,1,5,0.0
Hiếu Minh,12,446,1.9916666666666665
Hoa Mai,1,7,0.0
Hoài Thu,2,0,0.0
Hoàng Anh Tú,6,202,3.3333333333333335
Hoàng Minh Diễn,1,0,0.0
Hoàng Nguyên Cát,1,1,0.0
Hoàng Ngân,2,1,0.0
Hoàng Trọng Thủy,1,6,0.0
Hunter Clarke-Fields,1,25,0.0
Huyền Linh,25,5,0.16
Huỳnh Chí Viễn,1,31,5.0
Huỳnh Ngọc Trảng,1,0,0.0
Huỳnh Thái Ngọc,1,113,5.0
Huỳnh Toàn,2,19,0.0
Huỳnh Văn Mỹ,1,5,0.0
Hà Giang,1,5,5.0
Hà Linh Minh,6,254,0.8333333333333334
Hà Minh,1,80,5.0
Hà My,1,1,0.0
Hà Ngọc Nga,1,18,0.0
Hà Phương Kachiusa,1,6,0.0
Hà Vĩnh Thọ,2,650,2.5
Hâu Nâu,2,17,0.0
Hùng Lân,1,3,5.0
Hương Giang,1,25,5.0
Hương Việt,1,0,0.0
Hương Đỗ (Mẹ Ong Bông),7,393,1.2714285714285716
Hạ Yên,1,23,5.0
Hạ Đạt,1,128,4.6
Hạnh Hương,1,13,5.0
Hạnh Nguyên,4,11,1.25
Hạt Mầm khéo tay,1,0,0.0
Hải Kinh Lạc,1,69,5.0
Hải Minh,1,492,5.0
Hải Nguyên,1,4,0.0
Hải Phong,2,1,0.0
Hải Phạm,8,30,1.85
Hầu Bảo Đạt,2,39,2.5
Hầu Ngọc Trân,1,7,0.0
Học viện Khoa học và Công nghệ Happy kids,2,13,2.5
Hồ Chí Minh,1,0,0.0
Hồ Huy Sơn,7,472,1.342857142857143
Hồ Nguyệt,1,5,0.0
Hồ Thị Hải Âu,4,64,1.25
Hồ Viên Viên,3,3,0.0
Hồ Xuân Hương,1,91,4.6
Hồng Nhạn,1,1,0.0
Ian Graham,1,12,0.0
Iben Dissing Sandahl,4,2,0.0
Ibuka Masaru,4,8471,3.5
Inamori Kazuo,1,4,0.0
Ira Semenyuk,2,0,0.0
Isabelle Filliozat,3,0,0.0
Itaru Kinoshita,3,94,1.6666666666666667
Itokatsu,1,10,5.0
Ivan Kiriow,1,1,0.0
Ivan Moscovich,1,7,0.0
J.K.Rowling,1,574,4.8
Ja-hong Min,1,19,0.0
Jae Hoon Choi,4,26,0.0
Jam,1,9,0.0
James Matthew Barrie,1,88,5.0
Jane Bingham,1,1,0.0
Jane Chapman,1,4,0.0
Jane Chisholm,1,88,4.8
Jane Nelsen,1,9,5.0
Janet Doman,1,27,5.0
Jang Sehyun,1,49,5.0
Jang Sun Hye,10,33,0.0
Jayneen Sanders,2,0,0.0
Jean Henri Fabre,2,28,4.9
Jean-Henri Fabre,3,34,0.0
Jeff Kinney,20,1659,2.07
Jennifer Moore - Mallino & Gustavo Mazali,1,1,0.0
Jenny Jacoby,5,184,2.6
Jenny Jocoby,2,55,2.5
Jenny Pearson,1,44,4.7
Jeon Jee Eun,1,1,0.0
Jeong Seokchan,1,17,5.0
Jinco,7,1211,1.4285714285714286
Jo Jin Seok,4,16,1.25
Joan Rice,1,86,5.0
Joanna Brundle,3,21,1.6666666666666667
Jodie Cook,1,10,0.0
Johann Wyss,1,0,0.0
John Duffy,3,9,0.0
John Green,1,57,5.0
John Van Wyhe,1,68,4.8
Joline Godfrey,2,16,2.5
Jon Richards,1,4,0.0
Jonathan Litton,1,6,0.0
Jonathan Swift,1,30,5.0
Joumyaku,1,73,5.0
Joyce Meyer,1,2,1.0
Julie Bogart,3,0,0.0
Julie Falatko,1,0,0.0
Jung Wan Kim,1,44,4.8
Kaho Nashiki,1,306,5.0
Kamui Fujiwara,3,10,1.6666666666666667
Kan Takahama,1,6,0.0
