author_name,total_books,total_sales,average_rating
Ngô Văn Giá,1,221,5.0
Dagmar Geisler,3,219,5.0
"Mai Hương, Ngọc Tâm",1,219,4.8
Trịnh Văn Bằng,11,219,1.3636363636363635
Do Ki-sung,1,218,5.0
Vãn Tình,2,217,4.8
"Kim Seung-Min, Choi Byeong-Guk",1,216,4.8
Oren Klaff,4,215,2.425
Nikolay Nosov,1,211,5.0
Min Jin Lee,2,208,2.4
Education Lab,12,207,3.75
Richard Snow,1,207,5.0
Dr Carol Valinejad,1,206,5.0
Tuệ Văn,1,206,5.0
Khuyển Nhất,1,205,5.0
TS Lê Nguyên Phương,1,203,5.0
Vũ Tú Nam,5,203,1.0
Hoàng Anh Tú,6,202,3.3333333333333335
Ogura Hiroshi,4,199,1.25
J.K. Rowling,1,198,4.6
Dương Lập Bằng,8,197,2.425
Tin Man,1,196,5.0
Russell A. Barkley,5,195,2.0
"Richard Nicholls, Tống Mặc",1,194,4.8
Morotomi Yoshihiko,1,193,3.3
Ye-sil Kim,1,193,5.0
Abigail Baird,1,190,4.6
Lê Văn Nghĩa,1,189,4.8
Michaeleen Doucleff,1,189,5.0
Brian Tracy,8,187,1.25
Marimo Ragawa,2,187,2.5
Osamu Nishi,1,186,5.0
Takashi Maeno,2,186,2.4
Khánh Ngọc,3,185,1.5999999999999999
Thượng Lệ Hồng,6,185,3.216666666666667
"ChungBe Studios,  Lee Sukja",1,184,4.8
Jenny Jacoby,5,184,2.6
Pamela Paul,1,182,5.0
Quang Lân,2,178,4.75
NII Satoru,2,177,2.5
Nobufumi Matsunaga,2,176,2.5
Dolphin Press,10,174,3.0
"Jennifer Moore - Mallinos, Gustavo Mazali",1,173,5.0
Park Hannah,1,173,4.3
Uyên Bùi - BS. Trí Đoàn,4,173,2.325
Phạm Ngọc Điệp,5,171,0.0
Tim Clark - Alexander Osterwalder - Yves Pigneur,2,168,2.4
Ruth Owen,1,167,4.7
Robert L. Heilbroner,1,165,4.8
Từ bộ phim của Hayao Miyazaki,3,165,4.766666666666667
Lâm Tĩnh,1,164,4.7
Scarlet Beriko,1,162,5.0
Harvard Business Review,2,161,5.0
Lê Quang,13,161,3.3615384615384616
Timothy Ferriss,1,160,5.0
Duane Armitage,1,159,4.8
"Hồ Quốc Cường, Võ Thị Mai Chi",1,157,5.0
Ja-hong Min,2,156,2.5
"Đào Thiên An, Việt An",1,156,5.0
Nguyễn Bính,1,155,5.0
"Susan Verde, Peter H. Reynolds",1,154,5.0
Naomi Steiner M.D,3,152,1.5999999999999999
Aya Nakahara,1,151,5.0
Mẹ Chuột Túi,1,150,5.0
Peter F. Drucker,4,149,2.45
Nicolas Clémendot,1,148,5.0
Kozueko Morimoto,4,147,1.25
Nhóm tác giả,9,147,0.5555555555555556
"Nguyễn Quốc Khánh, Kiều Bắc, Nguyễn Thị Hoa",2,146,2.5
Rudyard Kipling,4,146,1.25
Liu Yong,3,145,3.266666666666667
Masashi Kishimoto,10,144,1.86
Nguyên Hồng,9,144,1.1111111111111112
Trần Thị Kim Cương,15,144,1.28
Simon Sinek,2,143,5.0
"Stephen J. Dubner, Steven D.Levitt",2,142,2.15
Trần Hoài Dương,6,140,1.6666666666666667
Emily Hughes,1,138,4.8
Võ Quảng,6,138,0.8333333333333334
Trần Duy Thành,1,137,4.5
Piotr Feliks Grzywacz,1,136,5.0
Paul Jarvis,2,135,2.35
Trương Cần,5,135,2.7399999999999998
Rachel Bertsche,1,133,5.0
Duy Khán,3,132,3.266666666666667
Haruichi Furudate,1,132,4.5
Amir Hagazi,5,131,0.86
Li Zheng,1,131,4.3
Linda Yueh,2,131,2.5
Nguyễn Xuân Nam,8,131,2.5
Ma Văn Kháng,13,130,0.38461538461538464
Phạm Ngọc Tân,1,129,0.0
Hạ Đạt,1,128,4.6
Jeong-ho Kim,1,128,5.0
Paru Itagaki,2,128,2.5
Ren Eguchi,1,128,5.0
Trần Văn Phương,1,128,4.8
Trung tâm Sáng tạo Thiếu nhi Mộc Đầu Nhân,3,127,4.666666666666667
Corey R. Tabor,8,126,2.3375
Hoàng Minh Diễn,11,126,1.3636363636363635
Sarah Duncan,2,125,2.5
Sun Yu Mei,8,125,1.25
Laura Numeroff,1,124,5.0
Linh Lan,1,123,4.8
Tomohito Oda,4,122,2.45
Phước Long,1,121,0.0
Thích Nhất Hạnh,4,120,2.4
Leonard L.berry,1,119,4.5
Naoshi Komi,1,119,5.0
Kishimi Ichiro,3,118,1.5
Lewis Carroll,3,118,1.6666666666666667
Ève Herrmann,2,118,4.9
Anindya Ghose,2,117,2.25
"Kelly Conroy, Abigail Hookham, Perry Emerson, Sean Julian, Ben Sanders, Suzy Senior, Eleonora De Pieri, Maudie Powell-Tuck , Duncan Beedie",1,117,5.0
Nalah2410,1,117,5.0
Muneyuki Kaneshiro,5,116,4.0
Biên Thùy,2,114,5.0
Inamori Kazuo,7,114,0.6857142857142857
Lưu Kính Dư,3,114,1.5333333333333332
Huỳnh Thái Ngọc,1,113,5.0
Michiaki Tanaka,4,113,3.75
NAOE,1,113,4.3
Kazuya Minekura,1,112,5.0
Soubee Amako,5,112,1.0
Wakamatsu Aki - Sasaki Masami,3,112,3.1999999999999997
GOSSTATION,1,111,5.0
Kim Ngân,2,111,2.4
"Nguyễn Hoàng Thanh Ly,  Nguyễn Văn Hai",4,111,3.75
"Nguyễn Thành Ngôn, Hồ Viết Thống,  Nguyễn Hoàng Vũ",1,111,5.0
Đỗ Đình Tấn,3,111,1.5333333333333332
B R O group,19,110,0.0
Kim Geon Oh,3,109,1.6666666666666667
Hazano Kazutake,3,108,2.9333333333333336
"Alexander Osterwalder, Yves Pigneur",2,107,2.5
Kosaku Anakubo,6,106,2.6666666666666665
Mitsu Izumi,3,106,0.0
Lâm Bình Bảo,1,105,5.0
Nguyễn Kiên,7,105,1.4000000000000001
Bác sĩ Trần Thị Huyên Thảo,3,104,1.6666666666666667
"Lê Phương Liên, Nguyễn Yến Oanh",1,104,5.0
Yuzo Takada,6,104,2.5
"Kangaroo Mother, Hoàng Nhữ Khiết",1,103,0.0
Laura Kuksta,1,103,5.0
Liu Xuan,1,103,4.8
Ths. Cù Minh Nhật,3,103,2.6
Niall Kishtainy,1,102,5.0
Trần Văn Thọ,1,102,5.0
Dr. Charles Sophy,3,101,1.6666666666666667
Gail Silver,3,101,3.1666666666666665
Vân Phàm,1,101,5.0
Andrew Matthews,1,100,4.8
Cao Văn Quyền,1,100,5.0
Charlotte Bronte,2,99,4.9
Tatsuya Endo,4,99,3.75
Nguyên Hương,6,98,2.3333333333333335
Tiến sĩ Nguyễn Thị Thu,1,96,4.0
Colin Towell,1,95,5.0
Hiromu Arakawa,7,95,0.7142857142857143
Touko Shino,2,95,5.0
"Alex Frith, Shaw Nielsen, Jerome Martin , Alice James, Federico Mariani",1,94,4.8
Itaru Kinoshita,3,94,1.6666666666666667
Gomi Taro,1,93,5.0
Nhiều,23,93,0.39999999999999997
Tiv,1,93,5.0
Vũ Trọng Phụng,6,93,3.0
Lạc Tư Tư,1,92,5.0
Stefan H. Thomke,2,92,2.5
"Alex Frith, Alice James, Jerome Martin, Federico Mariani, Shaw Nielsen",1,91,5.0
Chu Vĩnh Tân,3,91,2.6666666666666665
Dr. Kenvin Leman,1,91,5.0
Hồ Xuân Hương,1,91,4.6
YayoiSo,1,91,5.0
Kazuo Inamori,1,90,5.0
Takeshi Obata,1,90,5.0
Ths. Phạm Thị Thúy,2,90,2.5
Patra Patphureerat,1,89,4.8
Daniel J. Siegel,3,88,1.6666666666666667
FujikoFFujio,2,88,5.0
Fujimaru,2,88,4.85
James Matthew Barrie,1,88,5.0
Jane Chisholm,1,88,4.8
Mễ Cát Khả,18,88,1.3888888888888888
Nguyễn Như Mai,1,88,5.0
Park In-seo,1,88,5.0
"Mai Hương,  Ngọc Tâm",1,87,5.0
Joan Rice,1,86,5.0
Moon,1,85,5.0
Clamp,4,84,1.25
Heather Turegon,1,84,5.0
Nhị Nguyệt Trúc,1,83,4.5
Philip Steele,2,83,5.0
Selma Lagerlof,1,83,5.0
Kenichi Ohmae,2,82,2.4
Mai Hương,5,82,4.0
Neil Macgregor,1,82,5.0
Patrick Edblad,1,81,4.8
1980Edu,3,80,3.3333333333333335
Phạm Văn Công,10,80,0.9
Sasbadi Group,1,80,5.0
Đào Thị Hoàng Ly,3,79,1.6666666666666667
Anna Claybourne,2,77,2.5
"Lê Tuệ Minh, Lê Thu Ngọc",1,77,4.8
Quan Hán Thành,3,77,4.333333333333333
TS. Nguyễn Anh Tuấn,2,77,3.15
"Thanh Hà, Cloud Pillow",5,77,2.0
Ha-Joon Chang,1,76,4.5
Instant Research Institude,1,76,5.0
Song Nghi,7,76,2.142857142857143
Tiểu Mạch Đông Thái,1,76,5.0
Diane Tavenner,1,75,5.0
Kim Thủy,2,75,2.5
Nguyễn Anh,3,75,4.933333333333334
"Nguyễn Trần Thiên Lộc, Tố Ny",1,75,5.0
Rashmi Sirdeshpande,4,75,1.25
Sunil Gupta,5,74,0.9
Thạch Lam,3,74,1.5333333333333332
Yuu Toyota,1,74,5.0
"Đào Thị Hoàng Ly, Lê Tuấn Anh, Lê Minh Quân",1,74,4.7
Joumyaku,1,73,5.0
"Stephen M.R. Covey, Grey Link, Rebecca R. Merrill",1,73,5.0
TS. Lê Nguyên Phương,4,73,0.0
Stefania Leonardi Hartley,3,72,4.7
TS Đào Xuân Khương,1,72,5.0
"Jonathan Melmoth, Jerome Martin, Minna Lacey, Alex Frith",1,71,4.6
Patrick Bet-David,4,71,2.45
Bodo Schafer,2,70,4.9
Kiichi Hotta,1,70,5.0
"Kiều Bắc, Nguyễn Thị Hoa,  Nguyễn Quốc Khánh",3,70,1.6666666666666667
Margalis Fjelstad,2,70,0.0
"Tony Buổi Sáng,  Miêu Công Tử",1,70,4.8
Hải Kinh Lạc,1,69,5.0
Phạm Hổ,3,69,1.6666666666666667
"Alida Massari, Mairi Mackinnon",1,68,5.0
John Van Wyhe,1,68,4.8
Ngọc Chi,1,68,5.0
Robin Chase,1,68,5.0
Adrian Tchaikovsky,1,67,5.0
Hachun Lyonnet,8,67,0.0
Lê Hồng Đăng - Lê Thị Ngọc Ánh,3,67,2.766666666666667
Robert Herjavec,5,67,1.0
Sarah Ockwell - Smith,1,67,5.0
Ginette Bernier,1,66,5.0
Katsunori Ishida,1,65,5.0
Kosuke Satake,2,65,2.5
Mark Yarnell,1,65,5.0
"Nguyên Trang, Khánh Nguyên",1,65,5.0
Phúc Lai,3,65,1.6666666666666667
Thanh Nhã,1,65,5.0
Tsutsumi Chiharu,3,65,1.6666666666666667
Christina Herkert Schul,1,64,5.0
Dr. C. L. Claridge,4,64,0.0
Hồ Thị Hải Âu,4,64,1.25
Khánh Vân,8,64,1.125
Kiki,1,64,5.0
Nishimura Noriyasu,2,64,2.5
Philip Osbourne,5,64,4.96
Vũ Hùng,6,64,0.8333333333333334
Vương Ngọc Yến,9,64,1.1111111111111112
Alex Genadinik,2,63,2.5
Kairen Cullen,1,63,0.0
Tiến Sĩ Richard Gunderman,1,63,4.8
Vũ Chí Hồng,1,63,0.0
Hoàng Xuân Nhàn,9,62,1.1111111111111112
"Jennifer Riel, Roger L. Martin",1,62,4.6
Meg Meeker,4,62,1.25
Ryo Ishiyama,3,62,0.0
Stefania Leonardi Harley,2,62,4.65
Tom Robinson,2,62,2.5
Trần Ngọc Bảo Hân,5,62,2.0
GS. Makoto Shichida,6,61,1.6666666666666667
Kiều Bắc,6,61,0.7999999999999999
Mitsuko Tateishi,1,61,5.0
Sunsunsun,2,61,5.0
"Tông Nghị, Trương Văn Dược",1,61,5.0
Buke - Buke,1,60,5.0
Hideo Okubo,4,60,2.5
