review_id,product_id,rating_score,content,created_at
3795518,3083805,5.0,HÔM QUA ĐẾN NAY TÔI CHƯA THẤY AI GỌI ĐIỆN GIAO HÀNG NHƯNG ĐƠN HÀNG BÁO ĐÃ GIAO? XIN KIỂM TRA LẠI GIÚP.,1592021675
11265736,3083805,5.0,,1626581050
6068873,3083805,3.0,"Gây sách bị rách, nhiều vết xước ở mặt bìa",1607570498
10969734,3083805,5.0,,1625709439
8107765,3083805,4.0,,1614667459
7536918,3083805,5.0,,1612455951
4837692,3083805,5.0,"Sách rất chi tiết, dễ hiểu.",1599982836
2069559,3083805,2.0,"giao hàng mà tính tình cọc lóc, lúc giao ngje điện thoại, hỏi nhiêu tiền kêu anh nhìn gói hàng đọc đi, giao xong đếch cảm ơn, nhân viên tiki",1551393244
3156861,3083805,4.0,Nhanh gọn lẹ làng đàng hoàng sách đỉnh cao nên đọc,1584157436
5134519,3083805,5.0,,1602222772
4751465,3083805,4.0,,1599362195
4583041,3083805,5.0,,1598174432
2126260,3083805,1.0,"Mua hàng tiki rất tệ, không nên mua sản phẩm trên tiki",1554109312
1722138,3083805,5.0,Tôi đã mua sản phẩm. Đã đọc hiểu biết thêm về mô hình kinh tế mới - Thuê bao,1535154853
13464126,69545326,5.0,GOOD,1637984230
20174867,44225214,5.0,,1758941226
19915432,44225214,4.0,,1719803620
11910382,44225214,5.0,"Từng là đứa khởi nghiệp thất bại do "" Làm Bừa"" chả có phương hướng gì, vậy nên quyét tâm làm lại lần nữa, đọc sách giúp mình ngộ ra nhiều điều lắm",1629346364
3373209,44225214,4.0,"kinh doanh online có nhiều nền tảng: nhìn chung khá rộng có thể kể website, ***,.. tư duy, vận  hành, kết nối triển khai vv....
Sách mới chỉ nói về web và code 
chưa thỏa mãn kì vọng độc giả về tiêu đề kinh doanh online",1586529135
16757707,44225214,3.0,"cuốn này toàn nói về vĩ mô chung chung, ko thiết thực cân nhắc khi mua nha",1655556618
11883436,44225214,5.0,"q cuốn sách ngoài mong đợi 
Sách hay nên đọc sách mới bọc cẩn thận 
Giao hành nhanh",1629221873
11607840,44225214,5.0,Sản phẩm mới đúng như mô tả cảm ơn shop sẽ ủng hộ shop lần sau và lần sau nữa,1628073773
17945269,44225214,5.0,,1665628160
17927641,44225214,4.0,,1665464972
16674797,44225214,5.0,jdeiw89ư8ử8evwvw9ắccs,1654950677
16693986,44225214,5.0,,1655098894
9266480,44225214,5.0,giao hang nhanh chong. phuc vu tot. gia ca hop ly,1619170079
15513027,44225214,5.0,,1647756423
8136156,44225214,5.0,"Giao hàng nhanh, giá tốt, sách chất lượng",1614756475
14581455,44225214,5.0,Tốt,1642651138
12798977,44225214,5.0,,1635051568
12300236,44225214,5.0,,1632405705
12221431,44225214,5.0,,1631796964
11632494,44225214,5.0,,1628213236
10858953,44225214,5.0,Hay,1625367676
3331638,44225214,1.0,"sách khá dở và kiến thức khá chung chung, bìa sách bị rách bụi bẩn nhiều , quá tệ",1586077837
9321482,44225214,5.0,,1619334139
9212242,44225214,5.0,,1618974739
8946061,44225214,5.0,,1617773344
2863108,44225214,5.0,"khá đẹp, đóng gói kh có bọc, nhưng kh bị trầy bị gì cả! Nhưng tóm lại rất đẹp",1578794651
5953957,44225214,5.0,,1607133794
3108646,44225214,3.0,"trầy xước tùm lum, mong tiki làm ăn cẩn thận",1583409276
5133249,44225214,5.0,,1602218172
5058024,44225214,5.0,,1601642558
4894733,44225214,5.0,,1600413129
4135176,44225214,5.0,,1595214768
3957015,44225214,5.0,,1593578263
3764366,44225214,1.0,,1591709307
19286175,46789754,3.0,"Đóng gói đẹp, giao hàng nhanh. Nhưng khi unbox ☹️ Bìa sách khá cũ. Phần gáy nhăn, 1 số chỗ bị bẩn. Bên trong k có vấn đề gì",1686549038
13953106,46789754,5.0,"Tiki giao hàng cho mình mà họp ngoài bị rách thậm tệ luôn, nếu không nhờ cuốn này là bìa cứng thì chắc sách cũng bay màu rồi. Bìa cứng mà ngay gáy sách còn một đường sắp rách tới nơi. Nhưng bù lại, sách đẹp, trình bày thấy rất hệ thống và bắt mắt, nội dung cụ thể mình chưa đọc nên chưa biết được thế nào nữa. Được tặng móc khóa, giao hàng khá nhanh. Hy vọng Tiki có ghi chú cụ thể và đảm bảo trân trọng sách chút chứ mấy đơn rồi mình rất thất vọng khi nhận hộp gói sách luôn trong tình trạng rách nát, lủng lỗ toác ra luôn.",1639987049
17631714,46789754,1.0,"Đóng gói cẩn thận. Giao hàng nhanh.
Bìa và giấy in chất liệu tốt. 
Trọng lượng quá Nặng. Đặt trên bàn để đọc thì khom xuống mỏi cổ. Cầm lên tay thì quá nặng và mỏi tay.
Nét chữ in mực nhạt khó thấy. Phải nhìn gần mới thấy rõ. 
Trình bày nội dung cầu kỳ dẫn đến gây khó hiểu, lẫn lộn.
Nói chung chê nhiều hơn khen là ý kiến của mình.",1662622543
6756603,46789754,3.0,"Cái này thôi chắc ko cần nói tiếp. Thấy trên review 10 người hết 8 9 người bảo tiki đóng rất sơ sài và quả thực vậy. Đồng ý giá rất tốt, thời gian giao hàng nhanh nhưng sách gãy cộp và rất dơ. Hình này mình lau rồi lúc đầu lấy cầm nó bẩn ko tả . Ko biết mấy bạn có thể lau cho sạch trước khi đóng ko. 3 sao cho tiki do cg đoán được sẽ vậy nên cg k bất ngờ lắm",1609917443
15594371,46789754,5.0,"Về Giao hàng: Giao hàng nhanh
Về đóng gói: Tiki luôn tuyệt vời, gói đẹp
Về chất lượng sách: Tuyệt vời ông mặt trời
Về nội dung sách: toàn những tác phẩm bán chạy toàn cầu thì chất lượng không phải bàn.
Về giá cả: rẻ không tưởng

Xin cảm ơn TIKI ❤️❤️❤️",1648197161
11909733,46789754,5.0,"Cuốn sách rất chi tiết và đầy đủ, phù hợp với những người tìm hiểu chuyên sâu về lĩnh vực quản trị kinh doanh ở trình độ Đại học (vì sách có đề cập đến mảng tài chính doanh nghiệp) Nếu ai nghiên cứu kĩ lưỡng cuốn sách này có thể thành thạo như 1 môn học, rất thú vị.",1629344945
14266403,46789754,4.0,"Có thể mình chọn sách hơi kĩ tính nhưng sách giao đến xước rất nhiều ở bìa trước, có vết còn bị sâu như bị dao rọc vào, nhưng tiền nào của nấy nên cũng chấp nhận được. Sách in ấn đẹp phẳng phiu, đóng gói cũng ok nên cho 4 sao",1641358840
17163763,46789754,3.0,"Sách giao nhanh, khi giao hộp còn nguyên ko có dấu hiệu quăng quật khi vận chuyển nhưng sách lại bị hỏng phần gáy. Shop nên xem lại khâu bao gói.",1658478901
7400672,46789754,4.0,"Sách đẹp, bìa cứng, in màu hoàn toàn, chất lượng giấy ok. Tuy nhiên, nội dung sách làm mình hơi thất vọng một chút, vì hình ảnh thì sinh động, nhưng nội dung thì không, khá là khó nuốt với người không chuyên về business như mình, cảm giác như đọc sách giáo khoa vậy. Nhưng nhìn chung thì nội dung cũng khá bổ ích với những người đang cần.",1612072596
5393316,46789754,5.0,"Đây là một quyển sách cung cấp các kiến thức cơ bản về kinh doanh rất hay, đặc biệt thích hợp cho những người trái ngành muốn tìm hiểu về kinh doanh và cách thức vận hành một doanh nghiệp như thế nào. Sách được dàn trang rất tốt, hình ảnh minh hoạ rất nhiều nên nội dung dễ hiểu, giấy dày dễ đọc chứ không bóng bóng như bộ ""Khái lược các tư tưởng lớn"" của Đông A.",1603938349
15309515,46789754,5.0,"Sách hay, nội dung phong phú, nhiều hình ảnh minh họa bắt mắt với số liệu thực tế.Sách rất có ích cho những ai bắt đầu kinh doanh mà không học kinh doanh.Sách mới, sạch sẽ, không hư góc.Rất hài lòng!",1646697981
20148324,46789754,5.0,,1752836457
12207313,46789754,5.0,sách đóng đẹp ship nhanh bọc lót cẩn thận nền giấy chữ nét sáng sạch sẽ nội dung sách in màu gây hứng thú cho người đọc giấy  rất thơm tác giả  có tầm nhìn Đúng giá trị cấu trúc sách in của Tương Lai nó phải như vậy,1631694408
10585478,46789754,5.0,"Đã nhận sách, đóng gói cẩn thận, giao nhanh.
Không ngờ sách to thế. Trong in màu rất đẹp.
Dùng 1 tay mà cầm 2 cuốn sách không nổi luôn
Vote 5 sao.
Để đọc xong sẽ review nhé",1624338109
13219975,46789754,5.0,"tuyệt vời, giao hàng nhanh, in ấn rõ nét, sách đẹp và chất lượng, hình ảnh đồ hoạ minh hoạ trực quan",1636955905
12902105,46789754,5.0,Sách mình nhận bị ố một vệt dài ở phần bìa. Nhìn xót. Dùng nước tẩy trang lau mà không được. 😭Dịch bệnh nên mua online là chủ yếu. Mong Tiki bảo quản sách cẩn thận hơn.  Bỏ 1 số tiền không nhỏ (với mình) mua một quyển sách chỉ mong nó nguyên vẹn. Đâu phải đọc một hai lần rồi thôi. Sách theo mình lâu dài.,1635503252
12902517,46789754,4.0,"Nội dung sách cũng như chất lượng giấy đều tốt. Tuy nhiên, 1 điểm trừ nhỏ là khâu vận chuyển shop không bao bọc kỹ lưỡng nên đã xảy ra tình trạng méo mó trang giấy",1635504958
19601911,46789754,5.0,"Đẹp, nên mua",1697793082
17556946,46789754,3.0,"Mua cùng lúc với tiki nhưng sách mua ở app khác (sách bên phải) chưa gỡ bao ra mà sách này ở tiki đã gỡ ra rồi nhìn khá dơ, hơi thất vọng",1661835681
